"Zaman damgası","Cinsiyetiniz","Bölümünüz"," [Kız/Erkek arkadaşımın  sosyal medya kullanımı onun hakkındaki fikirlerimi etkiler.]"," [Kız/Erkek arkadaşım telefonumu istediği gibi kurcalayabilir.]"," [İlk buluşmada hesap ortak olarak ödenmeli.]"," [Kız/Erkek arkadaşım ben olmadan gece eğlenmeye çıkabilir.]"," [Kız/Erkek arkadaşım giyimime karışabilir.]"," [Kız/Erkek arkadaşımın karşı cinsten yakın arkadaşı olabilir.]"," [Kız/Erkek arkadaşımın önceki ilişkileri benim için önemsizdir.]","Kız/Erkek arkadaşı seçiminde hangi faktör sizin için en önemlisidir?","Kız/Erkek arkadaşı seçiminde hangi özellikleri önemsiyorsunuz?","Kız/Erkek ilişkilerinde başarının anahtarı sizce nedir?","Kaç tane romantik ilişkiniz oldu.","En uzun ilişkiniz ne kadar sürdü? (ay)","Kız / Erkek arkadaşınızla bir ayda yaklaşık kaç gün görüşüyorsunuz?"
"2023/05/06 1:18:08 ÖS GMT+3","Erkek","Aktüerya","4","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","4","3","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","3","16","20"
"2023/05/06 2:27:28 ÖS GMT+3","Erkek","Aktüerya","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","3","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","2","60","20"
"2023/05/06 9:07:31 ÖS GMT+3","Erkek","İstatistik","4","2","4","4","3","3","4","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","4","6","20"
"2023/05/08 2:45:58 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","1","15 ","9"
"2023/05/08 3:19:14 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","3","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 3:20:06 ÖS GMT+3","Erkek","İstatistik","4","2","5 (Kesinlikle Katılıyorum)","4","4","2","1 (Kesinlikle Katılmıyorum)","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","2","20","14"
"2023/05/08 3:24:58 ÖS GMT+3","Erkek","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","4","2","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","6","22"
"2023/05/08 9:24:14 ÖS GMT+3","Kadın","Kimya","3","2","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","4","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","1","1","3"
"2023/05/08 9:24:27 ÖS GMT+3","Kadın","İstatistik","4","1 (Kesinlikle Katılmıyorum)","2","3","1 (Kesinlikle Katılmıyorum)","2","4","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","1","6","8"
"2023/05/08 9:24:29 ÖS GMT+3","Kadın","İstatistik","4","2","2","5 (Kesinlikle Katılıyorum)","2","2","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","2","2","10"
