Date,Sex,Department,likert_1,likert_2,likert_3,likert_4,likert_5,likert_6,likert_7,soru8,soru9,soru10,soru11,soru12,soru13
2023-05-06,Erkek,Aktüerya,4,5,1,4,4,3,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,3,16,20
2023-05-06,Erkek,Aktüerya,1,1,5,4,1,3,5,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,2,60,20
2023-05-06,Erkek,İstatistik,4,2,4,4,3,3,4,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,4,6,20
2023-05-08,Erkek,İstatistik,5,5,1,1,5,1,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,1,15,9
2023-05-08,Erkek,İstatistik,5,3,5,5,1,5,5,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Erkek,İstatistik,4,2,5,4,4,2,1,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Empati yapabilmesi,Karşılıklı sevgi ve anlayış,2,20,14
2023-05-08,Erkek,İstatistik,4,3,5,4,2,5,1,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,6,22
2023-05-08,Kadın,Kimya,3,2,5,4,1,4,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,1,1,3
2023-05-08,Kadın,İstatistik,4,1,2,3,1,2,4,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,1,6,8
2023-05-08,Kadın,İstatistik,4,2,2,5,2,2,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,2,2,10
2023-05-08,Kadın,İstatistik,2,4,3,2,2,1,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,16,5
2023-05-08,Kadın,Kimya,3,2,4,4,1,3,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Kadın,İstatistik,4,3,5,4,4,4,4,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,2,18,4
2023-05-08,Kadın,İstatistik,1,1,5,4,1,4,5,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,2,20
2023-05-08,Kadın,İstatistik,5,1,5,3,1,2,4,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Erkek,İstatistik,5,4,4,1,4,3,1,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,8,8,2
2023-05-08,Erkek,İstatistik,5,1,5,1,3,1,1,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,2,17,6
2023-05-08,Kadın,Kimya,5,3,2,1,1,3,5,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,6,4
2023-05-08,Erkek,İstatistik,3,1,3,4,1,5,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,3,16,9
2023-05-08,Kadın,İstatistik,3,1,4,5,1,5,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,3,24,5
2023-05-08,Kadın,İstatistik,3,1,5,3,1,5,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,2,18,15
2023-05-08,Kadın,İstatistik,1,3,3,2,2,4,5,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,16,12
2023-05-08,Erkek,İstatistik,1,3,3,5,1,5,5,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,2,15,30
2023-05-08,Erkek,İstatistik,1,3,5,3,2,4,4,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Yalan söylememesi,Karşılıklı sevgi ve anlayış,0,3,0
2023-05-08,Erkek,İstatistik,4,3,5,4,2,3,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Yalan söylememesi,Karşılıklı sevgi ve anlayış,2,6,16
2023-05-08,Kadın,İstatistik,2,3,5,3,2,2,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,3,36,15
2023-05-08,Erkek,İstatistik,1,3,3,1,5,1,3,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Kadın,İstatistik,3,4,5,4,2,3,5,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,8,25
2023-05-08,Kadın,İstatistik,3,2,5,5,1,4,2,Kişinin karakteri ve kişilik özellikleri,İyi bir dinleyici olması,Karşılıklı sevgi ve anlayış,3,27,6
2023-05-08,Kadın,İstatistik,1,5,5,5,2,5,1,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,4,20,20
2023-05-08,Erkek,İstatistik,4,1,3,2,2,4,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Mizah duygusunun olması,Ortak ilgi ve hobiler,1,6,12
2023-05-08,Kadın,İstatistik,4,2,4,2,1,4,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,3,5,0
2023-05-08,Kadın,İstatistik,3,2,5,4,1,5,5,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,İletişim becerileri,1,4,20
2023-05-08,Kadın,İstatistik,2,2,5,4,1,4,5,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,1,7,10
2023-05-08,Kadın,İstatistik,3,1,5,3,1,3,5,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,0,95,5
2023-05-08,Kadın,İstatistik,3,2,4,5,1,4,2,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,1,13,20
2023-05-08,Erkek,İstatistik,4,2,4,3,3,3,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,3,6,15
2023-05-08,Erkek,İstatistik,5,3,5,3,2,4,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,2,36,7
2023-05-08,Erkek,İstatistik,5,1,5,1,1,1,1,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Kadın,İstatistik,2,5,5,5,4,5,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,1,25
2023-05-08,Kadın,İstatistik,5,1,3,4,1,4,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Mizah duygusunun olması,İletişim becerileri,4,18,12
2023-05-08,Kadın,İstatistik,2,1,5,5,1,3,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,2,6,12
2023-05-08,Kadın,İstatistik,4,3,5,5,1,4,4,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,2,18,10
2023-05-08,Kadın,İstatistik,4,3,5,3,2,4,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Ortak ilgi ve hobiler,1,3,5
2023-05-08,Kadın,İstatistik,3,1,4,5,1,5,5,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,1,7,0
2023-05-08,Kadın,İstatistik,5,3,3,4,1,2,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,4,13,30
2023-05-08,Erkek,İstatistik,4,3,5,3,3,4,4,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,3,51,14
2023-05-08,Kadın,İstatistik,1,1,5,5,1,3,5,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Ortak ilgi ve hobiler,1,42,0
2023-05-08,Kadın,İstatistik,4,2,5,5,1,4,5,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,İletişim becerileri,3,2,5
2023-05-08,Erkek,İstatistik,5,5,1,1,4,1,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Erkek,İstatistik,5,5,1,1,4,1,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Erkek,İstatistik,1,1,1,2,1,2,2,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,1,6,0
2023-05-08,Erkek,İstatistik,4,4,2,3,4,4,4,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Mizah duygusunun olması,İletişim becerileri,1,3,10
2023-05-08,Kadın,İstatistik,3,1,5,5,1,4,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Ortak ilgi ve hobiler,1,20,2
2023-05-08,Erkek,İstatistik,1,3,3,1,5,1,3,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-08,Erkek,İstatistik,4,2,2,2,1,3,3,"Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)",Yalan söylememesi,İletişim becerileri,2,6,8
2023-05-08,Kadın,Biyoloji,4,1,5,4,1,5,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,0,0,0
2023-05-08,Kadın,İstatistik,5,1,4,4,2,4,2,Kişinin karakteri ve kişilik özellikleri,İyi bir dinleyici olması,İletişim becerileri,3,42,10
2023-05-08,Kadın,İstatistik,3,1,5,4,1,5,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,30,12
2023-05-08,Kadın,İstatistik,3,4,2,4,2,5,3,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,5,11,24
2023-05-09,Kadın,Biyoloji,4,2,5,5,1,5,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,5,16,20
2023-05-09,Kadın,Kimya,2,1,2,1,2,1,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,1,24,8
2023-05-09,Erkek,İstatistik,2,4,5,4,3,3,4,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,3,48,25
2023-05-09,Kadın,Biyoloji,5,2,5,1,4,1,2,Kişinin maddi ve ekonomik durumu,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-09,Kadın,Biyoloji,4,2,3,4,1,4,3,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,2,7,10
2023-05-09,Erkek,İstatistik,5,2,1,3,2,4,5,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,1,7,20
2023-05-09,Kadın,İstatistik,5,2,2,4,2,4,4,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,2,16,20
2023-05-09,Kadın,İstatistik,4,1,5,4,1,4,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-09,Kadın,İstatistik,3,1,4,2,1,2,5,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,Karşılıklı sevgi ve anlayış,0,7,6
2023-05-09,Erkek,Matematik,4,1,3,4,3,4,5,Kişinin karakteri ve kişilik özellikleri,İyi bir dinleyici olması,İletişim becerileri,2,43,24
2023-05-09,Erkek,Matematik,5,5,1,3,2,4,3,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,İletişim becerileri,14,11,8
2023-05-09,Erkek,Matematik,2,2,4,4,3,3,2,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,1,6,25
2023-05-09,Kadın,Matematik,3,2,5,4,1,2,3,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,2,5
2023-05-09,Kadın,İstatistik,5,1,5,3,1,5,2,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,Karşılıklı sevgi ve anlayış,1,18,15
2023-05-09,Kadın,İstatistik,5,1,4,4,1,5,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,1,11,20
2023-05-09,Kadın,İstatistik,4,2,3,2,4,1,2,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,0,0,0
2023-05-10,Kadın,İstatistik,1,4,5,2,1,5,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Ortak ilgi ve hobiler,0,0,0
2023-05-10,Kadın,Biyoloji,3,2,3,1,3,1,1,Kişinin maddi ve ekonomik durumu,Yalan söylememesi,İletişim becerileri,3,24,2
2023-05-10,Kadın,Biyoloji,2,1,3,4,1,2,4,Kişinin maddi ve ekonomik durumu,Empati yapabilmesi,İletişim becerileri,0,0,0
